id,class
0,alive
1,alive
2,alive
3,all
4,all
5,all
6,answer
7,answer
8,answer
9,boy
10,boy
11,boy
12,building
13,building
14,building
15,buy
16,buy
17,buy
18,change_mind_
19,change_mind_
20,change_mind_
21,cold
22,cold
23,cold
24,come
25,come
26,come
27,computer_PC_
28,computer_PC_
29,computer_PC_
30,cost
31,cost
32,cost
33,crazy
34,crazy
35,crazy
36,danger
37,danger
38,danger
39,deaf
40,deaf
41,deaf
42,different
43,different
44,different
45,draw
46,draw
47,draw
48,drink
49,drink
50,drink
51,eat
52,eat
53,eat
54,exit
55,exit
56,exit
57,flash
58,flash
59,flash
60,forget
61,forget
62,forget
63,girl
64,girl
65,girl
66,give
67,give
68,give
69,glove
70,glove
71,glove
72,go
73,go
74,go
75,God
76,God
77,God
78,happy
79,happy
80,happy
81,head
82,head
83,head
84,hear
85,hear
86,hear
87,hello
88,hello
89,hello
90,his_hers
91,his_hers
92,his_hers
93,hot
94,hot
95,hot
96,how
97,how
98,how
99,hurry
100,hurry
101,hurry
102,hurt
103,hurt
104,hurt
105,I
106,I
107,I
108,innocent
109,innocent
110,innocent
111,is_true_
112,is_true_
113,is_true_
114,joke
115,joke
116,joke
117,juice
118,juice
119,juice
120,know
121,know
122,know
123,later
124,later
125,later
126,lose
127,lose
128,lose
129,love
130,love
131,love
132,make
133,make
134,make
135,man
136,man
137,man
138,maybe
139,maybe
140,maybe
141,mine
142,mine
143,mine
144,money
145,money
146,money
147,more
148,more
149,more
150,name
151,name
152,name
153,no
154,no
155,no
156,Norway
157,Norway
158,Norway
159,not
160,not
161,not
162,paper
163,paper
164,paper
165,pen
166,pen
167,pen
168,please
169,please
170,please
171,polite
172,polite
173,polite
174,question
175,question
176,question
177,read
178,read
179,read
180,ready
181,ready
182,ready
183,research
184,research
185,research
186,responsible
187,responsible
188,responsible
189,right
190,right
191,right
192,sad
193,sad
194,sad
195,same
196,same
197,same
198,science
199,science
200,science
201,share
202,share
203,share
204,shop
205,shop
206,shop
207,soon
208,soon
209,soon
210,sorry
211,sorry
212,sorry
213,spend
214,spend
215,spend
216,stubborn
217,stubborn
218,stubborn
219,surprise
220,surprise
221,surprise
222,take
223,take
224,take
225,temper
226,temper
227,temper
228,thank
229,thank
230,thank
231,think
232,think
233,think
234,tray
235,tray
236,tray
237,us
238,us
239,us
240,voluntary
241,voluntary
242,voluntary
243,wait_notyet_
244,wait_notyet_
245,wait_notyet_
246,what
247,what
248,what
249,when
250,when
251,when
252,where
253,where
254,where
255,which
256,which
257,which
258,who
259,who
260,who
261,why
262,why
263,why
264,wild
265,wild
266,wild
267,will
268,will
269,will
270,write
271,write
272,write
273,wrong
274,wrong
275,wrong
276,yes
277,yes
278,yes
279,you
280,you
281,you
282,zero
283,zero
284,zero
285,alive
286,alive
287,alive
288,all
289,all
290,all
291,answer
292,answer
293,answer
294,boy
295,boy
