characterID,Name,Team,isDead,isCaptured,isHurt,title,prefix
2,Addam Marbrand,Lannister,0,0,0,knight,Ser 
1894,Adrack Humble,Greyjoy,0,0,0,,
7,Aegon Frey (Jinglebell),Frey (North),0,0,0,,
8,Aegon I Targaryen,Targaryen,1,0,0,King of the Seven Kingdoms,King 
12,Aegon Targaryen,Targaryen,1,0,0,prince,Prince 
1045,Aemon,Night Watch,0,0,0,maester,Maester 
20,Aemon Targaryen,Targaryen,1,0,0,,
25,Aeron Greyjoy,Greyjoy,0,0,0,priest of the Drowned God,
27,Aerys II Targaryen,Targaryen,1,0,0,King of the Seven Kingdoms,King 
41,Alebelly,Stark,0,0,0,,
48,Alester Florent,Stannis,0,0,0,Lord of Brightwater Keep,Lord 
51,Alfyn,Wildlings (north of wall),0,0,0,,
55,Allar Deem,Lannister,0,0,0,,
93,Amory Lorch,Lannister,0,0,0,knight,Ser 
105,Antario Jast,Lannister,0,0,0,Lord of House Jast,Lord 
110,Areo Hotah,Martell,0,0,0,captain,Captain 
113,Arianne Martell,Martell,0,0,0,,Lady 
120,Arnolf Karstark,Stark,0,0,0,,
121,Aron Santagar,Robert,0,0,0,knight,Ser 
130,Arthur Dayne,Targaryen,1,0,0,knight of the King's guard,Ser 
136,Arya Stark,Stark,0,0,0,,Lady 
137,Arys Oakheart,Robert,0,0,0,knight of the King's guard,
138,Asha Greyjoy,Greyjoy,0,0,0,,
142,Aurane Waters,Stannis,0,0,0,,
143,Axell Florent,Stannis,0,0,0,knight,Ser 
152,Balman Byrch,Lannister,0,0,0,knight,Ser 
154,Balon Greyjoy,Greyjoy,0,0,0,Iron King,King 
155,Balon Swann,Robert,0,0,0,knight of the King's guard,Ser 
161,Barra,Robert,0,0,0,,
163,Barristan Selmy,Robert,0,0,0,knight of the King's guard,Ser 
183,Belwas,Targaryen,0,0,0,,
188,Ben Plumm,Second Sons,0,0,0,,
192,Benfred Tallhart,Stark,0,0,0,,
194,Benjen Stark,Night Watch,0,0,0,,
204,Beric Dondarrion,Robert,0,0,0,Lord of Blackhaven,Lord 
224,Biter,none,0,0,0,,
234,Boros Blount,Robert,0,0,0,knight of the King's guard,Ser 
237,Bowen Marsh,Night Watch,0,0,0,,
240,Bran Stark,Stark,0,0,0,,
243,Brandon Stark,Stark,0,0,0,,
255,Brienne of Tarth,Renly,0,0,0,knight,Lady 
256,Bronn,none,0,0,0,,
265,Brynden Tully,Stark,0,0,0,knight,Ser 
287,Catelyn Tully,Stark,0,0,0,,Lady 
295,Cersei Lannister,Lannister,0,0,0,Queen of Westeros,Queen 
298,Chayle,Stark,0,0,0,septon,Septon 
300,Chett,Night Watch,0,0,0,,
303,Chiswyck,Lannister,0,0,0,,
311,Cleos Frey,Frey (North),0,0,0,,
318,Coldhands,none,0,0,0,,
319,Colemon,Citadel,0,0,0,maester,Septon 
328,Cortnay Penrose,Renly,0,0,0,knight,Ser 
331,Cotter Pyke,Night Watch,0,0,0,,
333,Cragorn,Greyjoy,0,0,0,,
334,Craster,Wildlings (north of wall),0,0,0,,
1046,Cressen,Stannis,0,0,0,maester,Maester 
344,Daario Naharis,Stormcrows,0,0,0,,
345,Dacey Mormont,Stark,0,0,0,,
352,Daenerys Targaryen,Targaryen,0,0,0,,Lady 
1893,Dagon Codd,Greyjoy,0,0,0,,
369,Dalla,Wildlings (north of wall),0,0,0,,
381,Dareon,Night Watch,0,0,0,,
382,Daryn Hornwood,Stark,0,0,0,,
385,Davos Seaworth,Stannis,0,0,0,,
409,Dick Crabb,none,0,0,0,,
414,Dirk,Night Watch,0,0,0,,
418,Donal Noye,Night Watch,0,0,0,,
420,Donella Manderly,Stark,0,0,0,,Lady 
429,Dontos Hollard,Robert,0,0,0,knight,Ser 
431,Doran Martell,Martell,0,0,0,prince,Prince 
438,Drogo,Drogo,0,0,0,khal,Khal 
450,Dywen,Night Watch,0,0,0,,
452,Ebben,Night Watch,0,0,0,,
455,Eddard Karstark,Stark,0,0,0,,
456,Eddard Stark,Stark,0,0,0,Warden of the North,Lord 
458,Eddison Tollett,Night Watch,0,0,0,,
462,Edmure Tully,Stark,0,0,0,Lord Paramount of the Riverlands,Lord 
465,Edric Storm,Robert,0,0,0,,
483,Elia Martell,Martell,1,0,0,,Lady 
500,Emmon Cuy,Renly,0,0,0,,
501,Emmon Frey,Frey (North),0,0,0,,
508,Eon Hunter,Stark,0,0,0,,
521,Euron Greyjoy,Greyjoy,0,0,0,,
531,Falyse Stokeworth,Lannister,0,0,0,,
1888,First High Septon (the fat one),Faith,0,0,0,high septon,High Septon 
557,Gared,Night Watch,0,0,0,,
565,Garlan Tyrell,Tyrell,0,0,0,,
570,Garse Goodbrook,Frey (Lannister),0,0,0,knight,Ser 
575,Garth Greyfeather,Night Watch,0,0,0,,
586,Gendry,none,0,0,0,,
597,Gerris Drinkwater,Martell,0,0,0,,
603,Gilly,Wildlings (north of wall),0,0,0,,
605,Gladden Wylde,Robert,0,0,0,,
629,Gregor Clegane,Robert,0,0,0,knight,Ser 
630,Grenn,Night Watch,0,0,0,,
639,Groleo,Targaryen,0,0,0,,
645,Guncer Sunglass,Stannis,0,0,0,Lord of Sweetport Sound,Lord 
650,Guyard Morrigen,Renly,0,0,0,knight,Ser 
669,Hake,Night Watch,0,0,0,,
670,Hal,Night Watch,0,0,0,,
673,Haldon,Targaryen,0,0,0,,
685,Harlan Hunter,none,0,0,0,knight,Ser 
708,Harwin,Stark,0,0,0,,
719,Helman Tallhart,Stark,0,0,0,knight,Ser 
731,Hizdahr zo Loraq,Essos,0,0,0,,
736,Hodor,Stark,0,0,0,,
744,Hosteen Frey,Frey (North),0,0,0,knight,Ser 
746,Hoster Tully,Stark,0,0,0,Lord Paramount of the Riverlands,Lord 
747,Hot Pie,none,0,0,0,,
754,Hubard Rambton,Stannis,0,0,0,knight,Ser 
755,Hugh,Robert,0,0,0,,
760,Hullen,Stark,0,0,0,,
768,Iggo,Brave Companions,0,0,0,,
771,Illyrio Mopatis,none,0,0,0,,
772,Ilyn Payne,Robert,0,0,0,knight,Ser 
775,Irri,Drogo,0,0,0,,
776,Jacelyn Bywater,Robert,0,0,0,knight,Ser 
777,Jack Bulwer,Night Watch,0,0,0,,
782,Jafer Flowers,Night Watch,1,0,0,,
785,Jaime Lannister,Lannister,0,0,0,knight of the King's guard,Ser 
790,Janos Slynt,Robert,0,0,0,Commander of the City Watch,Lord 
791,Jaqen H'ghar,Faceless Men,0,0,0,,
792,Jared Frey,Frey (North),0,0,0,knight,Ser 
793,Jaremy Rykker,Night Watch,0,0,0,knight,Ser 
808,Jeor Mormont,Night Watch,0,0,0,Lord Commander of the Night Watch,Lord Commander 
818,Jeyne Poole,Stark,0,0,0,,
822,Jeyne Westerling,Stark,0,0,0,,Lady 
825,Jhiqui,Drogo,0,0,0,,
826,Jhogo,Drogo,0,0,0,bloodrider,
831,Joffrey Baratheon,Lannister,0,0,0,prince,Prince 
832,Jojen Reed,Stark,0,0,0,,
836,Jon Arryn,Robert,1,0,0,Hand of the King,Lord 
840,Jon Connington,Targaryen,0,0,0,Lord of Griffin's Roost,Lord 
851,Jon Snow,Stark,0,0,0,,
852,Jon Umber (Greatjon),Stark,0,0,0,Lord of Last Hearth,Lord 
862,Jorah Mormont,none,0,0,0,knight,Ser 
868,Jory Cassel,Stark,0,0,0,captain,Captain 
1963,Kerwin,Greyjoy,0,0,0,,
900,Kevan Lannister,Lannister,0,0,0,knight,Ser 
1965,Khrazz,Essos,0,0,0,,
902,Kindly Man,Faceless Men,0,0,0,,
907,Kraznys mo Nakloz,Essos,0,0,0,,
917,Kyra,none,0,0,0,,
922,Lancel Lannister,Lannister,0,0,0,,
929,Lark,Night Watch,0,0,0,,
966,Lollys Stokeworth,Lannister,0,0,0,,Lady 
968,Lommy Greenhands,none,0,0,0,,
970,Loras Tyrell,Tyrell,0,0,0,,
985,Lothar Mallery,Robert,0,0,0,,
987,Lothor Brune,Littlefinger,0,0,0,,
991,Lucas Blackwood,Stark,0,0,0,,
1012,Luton,Bolton (Lannister),0,0,0,,
1013,Luwin,Stark,0,0,0,maester,Maester 
1015,Lyanna Stark,Stark,1,0,0,lady,Lady 
1018,Lyman Darry,Stark,0,0,0,,
1021,Lymond Vikary,Lannister,0,0,0,knight,Ser 
1033,Lysa Tully,Littlefinger,0,0,0,lady,Lady 
1035,Mace Tyrell,Tyrell,0,0,0,Lord of Highgarden,Lord 
1047,Mag Mar Tun Doh Weg,Wildlings (north of wall),0,0,0,,
1057,Mance Rayder,Wildlings (north of wall),0,0,0,King beyond the wall,
1058,Mandon Moore,Robert,0,0,0,knight of the King's guard,Ser 
1066,Margaery Tyrell,Tyrell,0,0,0,,Lady 
1108,Meera Reed,Stark,0,0,0,,
1122,Melisandre,Red God,0,0,0,priestess of the Red God,
1135,Mero,Second Sons,0,0,0,,
1137,Merrett Frey,Frey (North),0,0,0,,
1140,Meryn Trant,Robert,0,0,0,knight of the King's guard,Ser 
1142,Mikken,Stark,0,0,0,,
1145,Mirri Maz Duur,Essos,0,0,0,Maegi,
1146,Missandei,Targaryen,0,1,0,,
1157,Mordane,Stark,0,0,0,septa,Septa 
1186,Mycah,Stark,0,0,0,,
1195,Myrcella Baratheon,Lannister,0,0,0,princess,Princess 
1201,Nan,Stark,0,0,0,,
1219,Nymeria,Martell,0,0,0,,Lady 
1225,Oberyn Martell,Martell,0,0,0,prince,Prince 
1232,Olenna Redwyne,Tyrell,0,0,0,,Lady 
1234,Ollo Lophand,Night Watch,0,0,0,,
1895,Oppo,none,0,0,0,,
1251,Orton Merryweather,Lannister,0,0,0,Lord of Longtable,Lord 
1255,Osha,Wildlings (north of wall),0,0,0,,
1257,Osmund Kettleblack,Tyrion,0,0,0,,
1259,Osney Kettleblack,Tyrion,0,0,0,,
1267,Othor,Night Watch,0,0,0,,
1276,Oznak zo Pahl,Essos,0,0,0,,
1280,Pate,Citadel,0,0,0,,
1294,Paul,Night Watch,0,0,0,,
1294,Paxter Redwyne,Tyrell,0,0,0,Lord of the Arbor,Lord 
1296,Penny,none,0,0,0,,
1303,Petyr Baelish,Littlefinger,0,0,0,Master of the coin,Lord 
1309,Podrick Payne,Robert,0,0,0,,
1312,Polliver,Lannister,0,0,0,,
1326,Pycelle,Lannister,0,0,0,grand maester,Grand Maester 
1327,Pyg,Brave Companions,0,0,0,,
1329,Pypar,Night Watch,0,0,0,,
1335,Qhorin Halfhand,Night Watch,0,0,0,,
1337,Qotho,Drogo,0,0,0,,
1338,Quaithe,Essos,0,0,0,,
1339,Quaro,Drogo,0,0,0,,
