chapterID,characterID,event,details,withID,team,title,prefix,
0,557,mentioned,,,,,,
0,808,mentioned,,,,,,
0,1045,mentioned,,,,,,
0,1434,mentioned,,,,,,
0,1808,mentioned,,,,,,
0,1825,mentioned,,,,,,
0,2068,mentioned,,,,,,
0,1808,killed,by a wight,2068,,,,
0,1808,changes allegiances,,,the Others,,,
0,1825,killed,,1808,,,,
1,240,mentioned,,,,,,
1,456,mentioned,,,,,,
1,557,mentioned,,,,,,
1,708,mentioned,,,,,,
1,760,mentioned,,,,,,
1,851,mentioned,,,,,,
1,868,mentioned,,,,,,
1,1057,mentioned,,,,,,
1,1201,mentioned,,,,,,
1,1426,mentioned,,,,,,
1,1431,mentioned,,,,,,
1,1434,mentioned,,,,,,
1,1451,mentioned,,,,,,
1,1648,mentioned,,,,,,
1,2068,mentioned,,,,,,
1,557,killed,,456,,,,
2,136,mentioned,,,,,,
2,194,mentioned,,,,,,
2,243,mentioned,,,,,,
2,265,mentioned,,,,,,
2,287,mentioned,,,,,,
2,295,mentioned,,,,,,
2,456,mentioned,,,,,,
2,746,mentioned,,,,,,
2,836,mentioned,,,,,,
2,868,mentioned,,,,,,
2,1013,mentioned,,,,,,
2,1013,mentioned,,,,,,
2,1057,mentioned,,,,,,
2,1326,mentioned,,,,,,
2,1426,mentioned,,,,,,
2,1434,mentioned,,,,,,
2,1530,mentioned,,,,,,
2,1676,mentioned,,,,,,
2,2068,mentioned,,,,,,
3,352,mentioned,,,,,,
3,438,mentioned,,,,,,
3,483,mentioned,,,,,,
3,771,mentioned,,,,,,
3,785,mentioned,,,,,,
3,862,mentioned,,,,,,
3,1404,mentioned,,,,,,
3,1434,mentioned,,,,,,
3,1770,mentioned,,,,,,
3,352,engaged,,438,,,,
3,438,engaged,,352,,,,
4,154,mentioned,,,,,,
4,194,mentioned,,,,,,
4,243,mentioned,,,,,,
4,287,mentioned,,,,,,
4,295,mentioned,,,,,,
4,456,mentioned,,,,,,
4,785,mentioned,,,,,,
4,831,mentioned,,,,,,
4,836,mentioned,,,,,,
4,1015,mentioned,,,,,,
4,1404,mentioned,,,,,,
4,1422,mentioned,,,,,,
4,1432,mentioned,,,,,,
4,1434,mentioned,,,,,,
4,1528,mentioned,,,,,,
4,1530,mentioned,,,,,,
4,1648,mentioned,,,,,,
4,1716,mentioned,,,,,,
4,1727,mentioned,,,,,,
4,2068,mentioned,,,,,,
4,831,engaged,,1530,,,,
4,1530,engaged,,831,,,,
5,136,mentioned,,,,,,
5,194,mentioned,,,,,,
5,287,mentioned,,,,,,
5,295,mentioned,,,,,,
5,456,mentioned,,,,,,
5,760,mentioned,,,,,,
5,785,mentioned,,,,,,
5,831,mentioned,,,,,,
5,851,mentioned,,,,,,
5,1013,mentioned,,,,,,
5,1013,mentioned,,,,,,
5,1195,mentioned,,,,,,
5,1426,mentioned,,,,,,
5,1431,mentioned,,,,,,
5,1434,mentioned,,,,,,
5,1530,mentioned,,,,,,
5,1648,mentioned,,,,,,
5,1676,mentioned,,,,,,
5,1716,mentioned,,,,,,
5,1727,mentioned,,,,,,
6,27,mentioned,,,,,,
6,130,mentioned,,,,,,
6,136,mentioned,,,,,,
6,194,mentioned,,,,,,
6,240,mentioned,,,,,,
6,243,mentioned,,,,,,
6,287,mentioned,,,,,,
6,456,mentioned,,,,,,
6,462,mentioned,,,,,,
6,831,mentioned,,,,,,
6,836,mentioned,,,,,,
6,851,mentioned,,,,,,
6,1013,mentioned,,,,,,
6,1426,mentioned,,,,,,
6,1431,mentioned,,,,,,
6,1434,mentioned,,,,,,
6,1451,mentioned,,,,,,
6,1530,mentioned,,,,,,
6,2068,mentioned,,,,,,
7,136,mentioned,,,,,,
7,240,mentioned,,,,,,
7,287,mentioned,,,,,,
7,818,mentioned,,,,,,
7,831,mentioned,,,,,,
7,851,mentioned,,,,,,
7,1157,mentioned,,,,,,
7,1195,mentioned,,,,,,
7,1219,mentioned,,,,,,
7,1426,mentioned,,,,,,
7,1431,mentioned,,,,,,
7,1451,mentioned,,,,,,
7,1528,mentioned,,,,,,
7,1530,mentioned,,,,,,
7,1648,mentioned,,,,,,
7,1676,mentioned,,,,,,
8,20,mentioned,,,,,,
8,130,mentioned,,,,,,
8,136,mentioned,,,,,,
8,163,mentioned,,,,,,
8,194,mentioned,,,,,,
8,234,mentioned,,,,,,
8,240,mentioned,,,,,,
8,295,mentioned,,,,,,
8,456,mentioned,,,,,,
8,736,mentioned,,,,,,
8,785,mentioned,,,,,,
8,831,mentioned,,,,,,
8,836,mentioned,,,,,,
8,851,mentioned,,,,,,
8,868,mentioned,,,,,,
8,1013,mentioned,,,,,,
8,1015,mentioned,,,,,,
8,1140,mentioned,,,,,,
8,1142,mentioned,,,,,,
8,1201,mentioned,,,,,,
8,1303,mentioned,,,,,,
8,1396,mentioned,,,,,,
8,1426,mentioned,,,,,,
8,1431,mentioned,,,,,,
8,1434,mentioned,,,,,,
8,1451,mentioned,,,,,,
8,1530,mentioned,,,,,,
8,1586,mentioned,,,,,,
8,1648,mentioned,,,,,,
8,240,hurt,,785,,,,
9,194,mentioned,,,,,,
9,240,mentioned,,,,,,
9,243,mentioned,,,,,,
9,287,mentioned,,,,,,
9,295,mentioned,,,,,,
9,298,mentioned,,,,,,
9,456,mentioned,,,,,,
9,785,mentioned,,,,,,
9,831,mentioned,,,,,,
9,1013,mentioned,,,,,,
9,1195,mentioned,,,,,,
9,1434,mentioned,,,,,,
9,1528,mentioned,,,,,,
9,1676,mentioned,,,,,,
9,1716,mentioned,,,,,,
10,136,mentioned,,,,,,
10,194,mentioned,,,,,,
10,240,mentioned,,,,,,
10,287,mentioned,,,,,,
10,456,mentioned,,,,,,
10,630,mentioned,,,,,,
10,851,mentioned,,,,,,
10,1142,mentioned,,,,,,
10,1157,mentioned,,,,,,
10,1219,mentioned,,,,,,
